ID,Tower company,Structure Type,Radio frequency ,Birds affected,Death Rate(in %),State,Total Towers(Present),Total Towers(before 5 years)
21143,Idea,MTower, 489.00 ,Kite,36,Kerala,826,295
21144,Jio,GTower, 579.00 ,Spotted Dove,46,Madhya Pradesh,262,199
21145,Jio,LTower, 813.00 ,Sparrow,75,Maharashtra,473,179
21146,Airtel,GTower, 468.00 ,Sparrow,47,Manipur,345,208
21147,BSNL,LTower, 512.00 ,Bulbul,30,Meghalaya,617,139
21148,Vodafone,MTower, 510.00 ,Kite,52,Mizoram,331,174
21149,Idea,LTower, 516.00 ,Bulbul,55,Nagaland,705,107
21150,BSNL,GTower, 585.00 ,Sparrow,35,Odisha,737,97
21151,Jio,GTower, 878.00 ,Spotted Dove,70,Punjab,304,203
21152,Airtel,MTower, 465.00 ,Kite,57,Rajasthan,718,276
21153,Vodafone,LTower, 570.00 ,Bulbul,59,Sikkim,822,104
21154,BSNL,MTower, 780.00 ,Sparrow,60,Tamil Nadu,511,168
21155,Idea,GTower, 613.00 ,Spotted Dove,55,Telangana,208,294
21156,Jio,LTower, 684.00 ,Bulbul,41,Tripura,261,106
21157,Jio,MTower, 800.00 ,Kite,66,Uttarakhand,672,291
21158,Airtel,GTower, 497.00 ,Sparrow,23,Uttar Pradesh,676,110
21159,BSNL,LTower, 415.00 ,Spotted Dove,80,West Bengal,695,284
21160,Vodafone,GTower, 611.00 ,Kite,53,Andhra Pradesh,222,210
21161,Idea,LTower, 792.00 ,Bulbul,26,Arunachal Pradesh,855,282
21162,BSNL,MTower, 734.00 ,Sparrow,30,Assam,660,234
21163,Jio,LTower, 346.00 ,Bulbul,58,Bihar,363,68
21164,Airtel,GTower, 753.00 ,Kite,26,Chhattisgarh,651,206
21165,Vodafone,GTower, 342.00 ,Spotted Dove,46,Goa,402,85
21166,BSNL,MTower, 304.00 ,Sparrow,38,Gujarat,308,81
21167,Idea,LTower, 543.00 ,Sparrow,72,Haryana,135,274
21168,Jio,MTower, 895.00 ,Bulbul,71,Andhra Pradesh,487,240
21169,Jio,GTower, 539.00 ,Kite,40,Arunachal Pradesh,426,231
21170,Airtel,LTower, 599.00 ,Bulbul,57,Assam,438,185
21171,BSNL,MTower, 532.00 ,Sparrow,71,Bihar,438,87
21172,Vodafone,GTower, 626.00 ,Spotted Dove,26,Chhattisgarh,584,141
21173,Idea,LTower, 680.00 ,Kite,60,Goa,364,91
21174,BSNL,GTower, 358.00 ,Bulbul,28,Gujarat,128,148
21175,Jio,LTower, 834.00 ,Sparrow,74,Haryana,749,114
21176,Airtel,MTower, 875.00 ,Spotted Dove,24,Himachal Pradesh,376,287
21177,Vodafone,LTower, 707.00 ,Bulbul,25,Jharkhand,140,221
21178,BSNL,GTower, 680.00 ,Kite,27,Karnataka,176,59
21179,Idea,GTower, 415.00 ,Sparrow,37,Kerala,546,119
21180,Jio,MTower, 847.00 ,Spotted Dove,53,Madhya Pradesh,845,58
21181,Jio,LTower, 882.00 ,Kite,20,Maharashtra,484,250
21182,Airtel,MTower, 567.00 ,Bulbul,41,Manipur,205,231
21183,BSNL,GTower, 574.00 ,Sparrow,34,Meghalaya,550,226
21184,Vodafone,LTower, 601.00 ,Bulbul,60,Mizoram,188,126
21185,Idea,MTower, 742.00 ,Kite,52,Nagaland,739,193
21186,BSNL,GTower, 661.00 ,Spotted Dove,59,Odisha,842,220
21187,Jio,LTower, 860.00 ,Sparrow,57,Punjab,317,225
21188,Airtel,GTower, 348.00 ,Sparrow,57,Rajasthan,740,133
21189,Vodafone,LTower, 361.00 ,Bulbul,26,Sikkim,793,98
21190,BSNL,MTower, 338.00 ,Kite,52,Tamil Nadu,838,250
21191,Idea,LTower, 367.00 ,Bulbul,28,Telangana,408,80
21192,Jio,GTower, 394.00 ,Sparrow,69,Tripura,230,85
21193,Jio,GTower, 435.00 ,Spotted Dove,22,Uttarakhand,209,63
21194,Airtel,MTower, 482.00 ,Kite,37,Uttar Pradesh,228,53
21195,BSNL,LTower, 876.00 ,Bulbul,25,West Bengal,849,113
21196,Vodafone,MTower, 677.00 ,Sparrow,37,Andhra Pradesh,570,258
21197,Idea,GTower, 879.00 ,Spotted Dove,59,Arunachal Pradesh,414,95
21198,BSNL,LTower, 403.00 ,Bulbul,39,Assam,619,189
21199,Jio,MTower, 593.00 ,Kite,63,Bihar,561,102
21200,Airtel,GTower, 676.00 ,Sparrow,50,Chhattisgarh,823,115
21201,Vodafone,LTower, 693.00 ,Spotted Dove,27,Goa,224,155
21202,BSNL,GTower, 581.00 ,Kite,71,Gujarat,511,150
21203,Idea,LTower, 704.00 ,Bulbul,69,Haryana,123,105
21204,Jio,MTower, 643.00 ,Sparrow,71,Himachal Pradesh,408,57
21205,Jio,LTower, 729.00 ,Bulbul,29,Jharkhand,687,156
21206,Airtel,GTower, 824.00 ,Kite,32,Karnataka,428,172
21207,BSNL,GTower, 368.00 ,Spotted Dove,70,Kerala,169,263
21208,Vodafone,MTower, 795.00 ,Sparrow,60,Madhya Pradesh,841,203
21209,Idea,LTower, 790.00 ,Sparrow,36,Maharashtra,425,285
21210,BSNL,MTower, 700.00 ,Bulbul,80,Manipur,411,66
21211,Jio,GTower, 686.00 ,Kite,49,Meghalaya,283,211
21212,Airtel,LTower, 606.00 ,Bulbul,49,Mizoram,687,259
21213,Vodafone,MTower, 334.00 ,Sparrow,65,Nagaland,887,295
21214,BSNL,GTower, 587.00 ,Spotted Dove,24,Odisha,576,123
21215,Idea,LTower, 427.00 ,Kite,50,Punjab,756,209
21216,Jio,GTower, 683.00 ,Bulbul,35,Rajasthan,533,168
21217,Jio,LTower, 653.00 ,Sparrow,40,Sikkim,291,227
21218,Airtel,MTower, 355.00 ,Spotted Dove,36,Tamil Nadu,889,207
21219,BSNL,LTower, 852.00 ,Bulbul,70,Telangana,600,227
21220,Vodafone,GTower, 817.00 ,Kite,31,Tripura,531,124
21221,Idea,GTower, 320.00 ,Sparrow,24,Uttarakhand,847,57
21222,BSNL,MTower, 840.00 ,Spotted Dove,60,Uttar Pradesh,711,192
21223,Jio,LTower, 690.00 ,Kite,46,West Bengal,734,106
21224,Airtel,MTower, 742.00 ,Bulbul,55,Andhra Pradesh,504,114
21225,Vodafone,GTower, 814.00 ,Sparrow,31,Arunachal Pradesh,425,105
21226,BSNL,LTower, 542.00 ,Bulbul,75,Assam,682,175
21227,Idea,MTower, 398.00 ,Kite,67,Bihar,193,290
21228,Jio,GTower, 886.00 ,Spotted Dove,47,Chhattisgarh,608,168
21229,Jio,LTower, 441.00 ,Sparrow,45,Goa,370,100
21230,Airtel,GTower, 518.00 ,Sparrow,43,Gujarat,152,88
21231,BSNL,LTower, 413.00 ,Bulbul,61,Haryana,439,228
21232,Vodafone,MTower, 752.00 ,Kite,48,Andhra Pradesh,724,104
21233,Idea,LTower, 357.00 ,Bulbul,32,Arunachal Pradesh,712,53
21234,BSNL,GTower, 514.00 ,Sparrow,78,Assam,643,145
21235,Jio,GTower, 776.00 ,Spotted Dove,40,Bihar,516,50
21236,Airtel,MTower, 567.00 ,Kite,25,Chhattisgarh,816,239
21237,Vodafone,LTower, 392.00 ,Bulbul,38,Goa,338,89
21238,BSNL,MTower, 503.00 ,Sparrow,56,Gujarat,253,300
21239,Idea,GTower, 488.00 ,Spotted Dove,49,Haryana,894,50
21240,Jio,LTower, 744.00 ,Bulbul,35,Himachal Pradesh,839,220
21241,Jio,MTower, 605.00 ,Kite,36,Jharkhand,192,190
21242,Airtel,GTower, 623.00 ,Sparrow,41,Karnataka,459,211
21243,BSNL,LTower, 549.00 ,Spotted Dove,42,Kerala,741,273
21244,Vodafone,GTower, 675.00 ,Kite,58,Madhya Pradesh,493,103
21245,Idea,LTower, 508.00 ,Bulbul,67,Maharashtra,330,73
21246,BSNL,MTower, 374.00 ,Sparrow,68,Manipur,383,106
21247,Jio,LTower, 616.00 ,Bulbul,20,Meghalaya,865,299
21248,Airtel,GTower, 358.00 ,Kite,75,Mizoram,115,144
21249,Vodafone,GTower, 554.00 ,Spotted Dove,29,Nagaland,157,64
21250,BSNL,MTower, 639.00 ,Sparrow,39,Odisha,441,186
21251,Idea,LTower, 319.00 ,Sparrow,80,Punjab,883,111
21252,Jio,MTower, 652.00 ,Bulbul,56,Rajasthan,852,208
21253,Jio,GTower, 520.00 ,Kite,40,Sikkim,351,103
21254,Airtel,LTower, 702.00 ,Bulbul,31,Tamil Nadu,122,84
21255,BSNL,MTower, 449.00 ,Sparrow,68,Telangana,532,291
21256,Vodafone,GTower, 435.00 ,Spotted Dove,37,Tripura,336,280
21257,Idea,LTower, 827.00 ,Kite,30,Uttarakhand,537,283
21258,BSNL,GTower, 858.00 ,Bulbul,57,Uttar Pradesh,562,265
21259,Jio,LTower, 407.00 ,Sparrow,38,West Bengal,361,287
21260,Airtel,MTower, 348.00 ,Spotted Dove,78,Andhra Pradesh,185,72
21261,Vodafone,LTower, 809.00 ,Bulbul,31,Arunachal Pradesh,611,188
21262,BSNL,GTower, 389.00 ,Kite,80,Assam,700,119
21263,Idea,GTower, 690.00 ,Sparrow,61,Bihar,872,72
21264,Jio,MTower, 638.00 ,Spotted Dove,30,Chhattisgarh,351,90
21265,Jio,LTower, 680.00 ,Kite,78,Goa,775,67
21266,Airtel,MTower, 696.00 ,Bulbul,64,Gujarat,384,220
21267,BSNL,GTower, 315.00 ,Sparrow,44,Haryana,444,101
21268,Vodafone,LTower, 841.00 ,Bulbul,68,Himachal Pradesh,122,279
21269,Idea,MTower, 814.00 ,Kite,30,Jharkhand,628,284
21270,BSNL,GTower, 593.00 ,Spotted Dove,67,Karnataka,884,103
21271,Jio,LTower, 754.00 ,Sparrow,52,Kerala,211,145
21272,Airtel,GTower, 549.00 ,Sparrow,24,Madhya Pradesh,687,71
21273,Vodafone,LTower, 490.00 ,Bulbul,32,Maharashtra,656,269
21274,BSNL,MTower, 526.00 ,Kite,61,Manipur,695,297
21275,Idea,LTower, 793.00 ,Bulbul,46,Meghalaya,831,249
21276,Jio,GTower, 676.00 ,Sparrow,48,Mizoram,786,169
21277,Jio,GTower, 322.00 ,Spotted Dove,45,Nagaland,378,81
21278,Airtel,MTower, 729.00 ,Kite,71,Odisha,812,113
21279,BSNL,LTower, 487.00 ,Bulbul,48,Punjab,806,274
21280,Vodafone,MTower, 605.00 ,Sparrow,32,Rajasthan,780,260
21281,Idea,GTower, 818.00 ,Spotted Dove,66,Sikkim,831,282
21282,BSNL,LTower, 845.00 ,Bulbul,66,Tamil Nadu,491,98
21283,Jio,MTower, 833.00 ,Kite,40,Telangana,784,79
21284,Airtel,GTower, 668.00 ,Sparrow,25,Tripura,635,172
21285,Vodafone,LTower, 663.00 ,Spotted Dove,39,Uttarakhand,326,199
21286,BSNL,GTower, 574.00 ,Kite,72,Uttar Pradesh,540,91
21287,Idea,LTower, 731.00 ,Bulbul,47,West Bengal,373,141
21288,Jio,MTower, 826.00 ,Sparrow,66,Andhra Pradesh,571,76
21289,Jio,LTower, 427.00 ,Bulbul,68,Arunachal Pradesh,434,87
21290,Airtel,GTower, 533.00 ,Kite,43,Assam,533,181
21291,BSNL,GTower, 557.00 ,Spotted Dove,61,Bihar,316,201
21292,Vodafone,MTower, 684.00 ,Sparrow,40,Chhattisgarh,448,283
21293,Idea,LTower, 441.00 ,Sparrow,65,Goa,580,182
21294,BSNL,MTower, 311.00 ,Bulbul,22,Gujarat,664,189
21295,Jio,GTower, 628.00 ,Kite,25,Haryana,655,222
21296,Airtel,LTower, 669.00 ,Bulbul,35,Andhra Pradesh,463,282
21297,Vodafone,MTower, 722.00 ,Sparrow,45,Arunachal Pradesh,279,182
21298,BSNL,GTower, 423.00 ,Spotted Dove,75,Assam,715,55
21299,Idea,LTower, 853.00 ,Kite,46,Bihar,439,280
21300,Jio,GTower, 367.00 ,Bulbul,73,Chhattisgarh,208,220
21301,Jio,LTower, 720.00 ,Sparrow,70,Goa,714,166
21302,Airtel,MTower, 508.00 ,Spotted Dove,68,Gujarat,703,84
21303,BSNL,LTower, 596.00 ,Bulbul,68,Haryana,510,134
21304,Vodafone,GTower, 509.00 ,Kite,65,Himachal Pradesh,262,255
21305,Idea,GTower, 850.00 ,Sparrow,68,Jharkhand,243,269
21306,BSNL,MTower, 526.00 ,Spotted Dove,42,Karnataka,873,229
21307,Jio,LTower, 572.00 ,Kite,33,Kerala,775,194
21308,Airtel,MTower, 734.00 ,Bulbul,80,Madhya Pradesh,316,107
21309,Vodafone,GTower, 376.00 ,Sparrow,59,Maharashtra,845,243
21310,BSNL,LTower, 712.00 ,Bulbul,49,Manipur,867,122
21311,Idea,MTower, 683.00 ,Kite,21,Meghalaya,845,102
21312,Jio,GTower, 632.00 ,Spotted Dove,31,Mizoram,156,270
21313,Jio,LTower, 337.00 ,Sparrow,32,Nagaland,366,233
21314,Airtel,GTower, 569.00 ,Sparrow,73,Odisha,241,114
21315,BSNL,LTower, 779.00 ,Bulbul,80,Punjab,717,97
21316,Vodafone,MTower, 740.00 ,Kite,49,Rajasthan,456,142
21317,Idea,LTower, 582.00 ,Bulbul,65,Sikkim,755,97
21318,BSNL,GTower, 372.00 ,Sparrow,61,Tamil Nadu,874,240
21319,Jio,GTower, 757.00 ,Spotted Dove,68,Telangana,222,184
21320,Airtel,MTower, 318.00 ,Kite,49,Tripura,559,272
21321,Vodafone,LTower, 347.00 ,Bulbul,27,Uttarakhand,797,185
21322,BSNL,MTower, 537.00 ,Sparrow,27,Uttar Pradesh,151,191
21323,Idea,GTower, 474.00 ,Spotted Dove,50,West Bengal,184,148
21324,Jio,LTower, 745.00 ,Bulbul,23,Andhra Pradesh,334,75
21325,Jio,MTower, 321.00 ,Kite,20,Arunachal Pradesh,598,299
21326,Airtel,GTower, 894.00 ,Sparrow,21,Assam,739,77
21327,BSNL,LTower, 536.00 ,Spotted Dove,52,Bihar,775,180
21328,Vodafone,GTower, 556.00 ,Kite,43,Chhattisgarh,556,135
21329,Idea,LTower, 692.00 ,Bulbul,29,Goa,737,163
21330,BSNL,MTower, 387.00 ,Sparrow,28,Gujarat,712,122
21331,Jio,LTower, 434.00 ,Bulbul,73,Haryana,583,203
21332,Airtel,GTower, 345.00 ,Kite,70,Himachal Pradesh,541,110
21333,Vodafone,GTower, 851.00 ,Spotted Dove,27,Jharkhand,393,233
21334,BSNL,MTower, 355.00 ,Sparrow,25,Karnataka,589,73
21335,Idea,LTower, 414.00 ,Sparrow,50,Kerala,102,209
21336,Jio,MTower, 363.00 ,Bulbul,29,Madhya Pradesh,512,259
21337,Jio,GTower, 334.00 ,Kite,77,Maharashtra,646,111
21338,Airtel,LTower, 397.00 ,Bulbul,41,Manipur,487,95
21339,BSNL,MTower, 802.00 ,Sparrow,40,Meghalaya,642,121
21340,Vodafone,GTower, 704.00 ,Spotted Dove,51,Mizoram,296,245
21341,Idea,LTower, 394.00 ,Kite,80,Nagaland,310,239
21342,BSNL,GTower, 569.00 ,Bulbul,65,Odisha,764,214
21343,Jio,LTower, 518.00 ,Sparrow,57,Punjab,599,168
21344,Airtel,MTower, 856.00 ,Spotted Dove,32,Rajasthan,388,114
21345,Vodafone,LTower, 354.00 ,Bulbul,20,Sikkim,715,104
21346,BSNL,GTower, 500.00 ,Kite,73,Tamil Nadu,438,280
21347,Idea,GTower, 302.00 ,Sparrow,63,Telangana,219,293
21348,Jio,MTower, 668.00 ,Spotted Dove,40,Tripura,144,262
21349,Jio,LTower, 526.00 ,Kite,56,Uttarakhand,844,194
21350,Airtel,MTower, 786.00 ,Bulbul,67,Uttar Pradesh,736,241
21351,BSNL,GTower, 635.00 ,Sparrow,48,West Bengal,246,229
21352,Vodafone,LTower, 347.00 ,Bulbul,58,Andhra Pradesh,421,102
21353,Idea,MTower, 698.00 ,Kite,62,Arunachal Pradesh,255,67
21354,BSNL,GTower, 515.00 ,Spotted Dove,71,Assam,863,226
21355,Jio,LTower, 656.00 ,Sparrow,40,Bihar,577,197
21356,Airtel,GTower, 635.00 ,Sparrow,26,Chhattisgarh,335,167
21357,Vodafone,LTower, 421.00 ,Bulbul,20,Goa,150,241
21358,BSNL,MTower, 796.00 ,Kite,29,Gujarat,767,128
21359,Idea,LTower, 688.00 ,Bulbul,49,Haryana,157,227
21360,Jio,GTower, 873.00 ,Sparrow,47,Andhra Pradesh,326,94
21361,Jio,GTower, 759.00 ,Spotted Dove,56,Arunachal Pradesh,227,151
21362,Airtel,MTower, 490.00 ,Kite,71,Assam,701,285
21363,BSNL,LTower, 525.00 ,Bulbul,33,Bihar,823,171
21364,Vodafone,MTower, 353.00 ,Sparrow,39,Chhattisgarh,292,93
21365,Idea,GTower, 361.00 ,Spotted Dove,74,Goa,479,103
21366,BSNL,LTower, 398.00 ,Bulbul,30,Gujarat,133,224
21367,Jio,MTower, 582.00 ,Kite,77,Haryana,475,137
21368,Airtel,GTower, 592.00 ,Sparrow,31,Himachal Pradesh,880,242
21369,Vodafone,LTower, 777.00 ,Spotted Dove,75,Jharkhand,660,205
21370,BSNL,GTower, 731.00 ,Kite,25,Karnataka,335,178
21371,Idea,LTower, 663.00 ,Bulbul,65,Kerala,660,86
21372,Jio,MTower, 858.00 ,Sparrow,68,Madhya Pradesh,662,208
21373,Jio,LTower, 639.00 ,Bulbul,48,Maharashtra,578,113
21374,Airtel,GTower, 715.00 ,Kite,30,Manipur,160,275
21375,BSNL,GTower, 489.00 ,Spotted Dove,39,Meghalaya,725,300
21376,Vodafone,MTower, 396.00 ,Sparrow,67,Mizoram,596,159
21377,Idea,LTower, 509.00 ,Sparrow,36,Nagaland,693,171
21378,BSNL,MTower, 617.00 ,Bulbul,22,Odisha,317,264
21379,Jio,GTower, 482.00 ,Kite,27,Punjab,582,256
21380,Airtel,LTower, 744.00 ,Bulbul,76,Rajasthan,661,123
21381,Vodafone,MTower, 492.00 ,Sparrow,25,Sikkim,632,171
21382,BSNL,GTower, 454.00 ,Spotted Dove,27,Tamil Nadu,463,72
21383,Idea,LTower, 671.00 ,Kite,58,Telangana,508,265
21384,Jio,GTower, 614.00 ,Bulbul,72,Tripura,608,269
21385,Jio,LTower, 364.00 ,Sparrow,76,Uttarakhand,316,159
21386,Airtel,MTower, 522.00 ,Spotted Dove,54,Uttar Pradesh,356,235
21387,BSNL,LTower, 468.00 ,Bulbul,74,West Bengal,473,159
21388,Vodafone,GTower, 733.00 ,Kite,43,Andhra Pradesh,250,224
21389,Idea,GTower, 687.00 ,Sparrow,76,Arunachal Pradesh,228,121
21390,BSNL,MTower, 688.00 ,Spotted Dove,41,Assam,293,54
21391,Jio,LTower, 887.00 ,Kite,24,Bihar,888,124
21392,Airtel,MTower, 332.00 ,Bulbul,72,Chhattisgarh,806,75
21393,Vodafone,GTower, 533.00 ,Sparrow,41,Goa,677,291
21394,BSNL,LTower, 416.00 ,Bulbul,23,Gujarat,493,263
21395,Idea,MTower, 319.00 ,Kite,77,Haryana,141,212
21396,Jio,GTower, 897.00 ,Spotted Dove,30,Himachal Pradesh,232,133
21397,Jio,LTower, 771.00 ,Sparrow,72,Jharkhand,437,72
21398,Airtel,GTower, 802.00 ,Sparrow,59,Karnataka,546,117
21399,BSNL,LTower, 304.00 ,Bulbul,38,Kerala,412,116
21400,Vodafone,MTower, 795.00 ,Kite,57,Madhya Pradesh,323,253
21401,Idea,LTower, 476.00 ,Bulbul,79,Maharashtra,300,269
21402,BSNL,GTower, 855.00 ,Sparrow,60,Manipur,606,140
21403,Jio,GTower, 617.00 ,Spotted Dove,57,Meghalaya,832,136
21404,Airtel,MTower, 749.00 ,Kite,37,Mizoram,260,85
21405,Vodafone,LTower, 317.00 ,Bulbul,37,Nagaland,198,151
21406,BSNL,MTower, 377.00 ,Sparrow,36,Odisha,196,87
21407,Idea,GTower, 469.00 ,Spotted Dove,42,Punjab,655,287
21408,Jio,LTower, 555.00 ,Bulbul,29,Rajasthan,180,143
21409,Jio,MTower, 585.00 ,Kite,48,Sikkim,546,109
21410,Airtel,GTower, 746.00 ,Sparrow,54,Tamil Nadu,360,271
21411,BSNL,LTower, 781.00 ,Spotted Dove,53,Telangana,106,62
21412,Vodafone,GTower, 607.00 ,Kite,52,Tripura,503,218
21413,Idea,LTower, 581.00 ,Bulbul,80,Uttarakhand,620,118
21414,BSNL,MTower, 812.00 ,Sparrow,79,Uttar Pradesh,308,101
21415,Jio,LTower, 538.00 ,Bulbul,60,West Bengal,798,50
21416,Airtel,GTower, 735.00 ,Kite,41,Andhra Pradesh,112,230
21417,Vodafone,GTower, 588.00 ,Spotted Dove,72,Arunachal Pradesh,112,116
21418,BSNL,MTower, 594.00 ,Sparrow,57,Assam,865,243
21419,Idea,LTower, 460.00 ,Sparrow,56,Bihar,742,233
21420,Jio,MTower, 863.00 ,Bulbul,69,Chhattisgarh,296,217
21421,Jio,GTower, 740.00 ,Kite,21,Goa,821,75
21422,Airtel,LTower, 499.00 ,Bulbul,71,Gujarat,200,211
21423,BSNL,MTower, 304.00 ,Sparrow,25,Haryana,601,82
21424,Vodafone,GTower, 314.00 ,Spotted Dove,69,Andhra Pradesh,530,180
21425,Idea,LTower, 476.00 ,Kite,69,Arunachal Pradesh,210,180
21426,BSNL,GTower, 635.00 ,Bulbul,25,Assam,564,213
21427,Jio,LTower, 724.00 ,Sparrow,73,Bihar,519,163
21428,Airtel,MTower, 885.00 ,Spotted Dove,46,Chhattisgarh,141,202
21429,Vodafone,LTower, 389.00 ,Bulbul,78,Goa,543,175
21430,BSNL,GTower, 796.00 ,Kite,65,Gujarat,386,125
21431,Idea,GTower, 693.00 ,Sparrow,77,Haryana,660,286
21432,Jio,MTower, 558.00 ,Spotted Dove,22,Himachal Pradesh,353,99
21433,Jio,LTower, 611.00 ,Kite,52,Jharkhand,455,294
21434,Airtel,MTower, 587.00 ,Bulbul,78,Karnataka,127,217
21435,BSNL,GTower, 697.00 ,Sparrow,36,Kerala,411,194
21436,Vodafone,LTower, 464.00 ,Bulbul,46,Madhya Pradesh,299,221
21437,Idea,MTower, 318.00 ,Kite,46,Maharashtra,208,285
21438,BSNL,GTower, 877.00 ,Spotted Dove,20,Manipur,688,154
21439,Jio,LTower, 421.00 ,Sparrow,47,Meghalaya,380,156
21440,Airtel,GTower, 444.00 ,Sparrow,78,Mizoram,311,94
21441,Vodafone,LTower, 647.00 ,Bulbul,58,Nagaland,858,214
21442,BSNL,MTower, 404.00 ,Kite,32,Odisha,270,229
21443,Idea,LTower, 845.00 ,Bulbul,54,Punjab,605,157
21444,Jio,GTower, 577.00 ,Sparrow,45,Rajasthan,322,134
21445,Jio,GTower, 852.00 ,Spotted Dove,49,Sikkim,106,212
21446,Airtel,MTower, 439.00 ,Kite,64,Tamil Nadu,519,290
21447,BSNL,LTower, 358.00 ,Bulbul,23,Telangana,450,186
21448,Vodafone,MTower, 475.00 ,Sparrow,72,Tripura,611,135
21449,Idea,GTower, 581.00 ,Spotted Dove,62,Uttarakhand,327,279
21450,BSNL,LTower, 704.00 ,Bulbul,65,Uttar Pradesh,219,101
21451,Jio,MTower, 619.00 ,Kite,54,West Bengal,144,207
21452,Airtel,GTower, 509.00 ,Sparrow,52,Andhra Pradesh,508,297
21453,Vodafone,LTower, 851.00 ,Spotted Dove,49,Arunachal Pradesh,886,194
21454,BSNL,GTower, 718.00 ,Kite,79,Assam,210,148
21455,Idea,LTower, 445.00 ,Bulbul,35,Bihar,501,206
21456,Jio,MTower, 791.00 ,Sparrow,70,Chhattisgarh,489,201
21457,Jio,LTower, 657.00 ,Bulbul,21,Goa,490,114
21458,Airtel,GTower, 760.00 ,Kite,55,Gujarat,293,254
21459,BSNL,GTower, 513.00 ,Spotted Dove,41,Haryana,456,109
21460,Vodafone,MTower, 486.00 ,Sparrow,48,Himachal Pradesh,639,260
21461,Idea,LTower, 495.00 ,Sparrow,21,Jharkhand,216,172
21462,BSNL,MTower, 605.00 ,Bulbul,33,Karnataka,616,296
21463,Jio,GTower, 694.00 ,Kite,65,Kerala,657,176
21464,Airtel,LTower, 460.00 ,Bulbul,37,Madhya Pradesh,809,167
21465,Vodafone,MTower, 332.00 ,Sparrow,35,Maharashtra,395,178
21466,BSNL,GTower, 886.00 ,Spotted Dove,58,Manipur,646,145
21467,Idea,LTower, 456.00 ,Kite,48,Meghalaya,597,89
21468,Jio,GTower, 523.00 ,Bulbul,52,Mizoram,299,50
21469,Jio,LTower, 459.00 ,Sparrow,25,Nagaland,251,137
21470,Airtel,MTower, 434.00 ,Spotted Dove,21,Odisha,725,76
21471,BSNL,LTower, 843.00 ,Bulbul,51,Punjab,842,58
21472,Vodafone,GTower, 422.00 ,Kite,66,Rajasthan,567,134
21473,Idea,GTower, 454.00 ,Sparrow,32,Sikkim,820,275
21474,BSNL,MTower, 464.00 ,Spotted Dove,56,Tamil Nadu,767,197
21475,Jio,LTower, 552.00 ,Kite,39,Telangana,217,252
21476,Airtel,MTower, 667.00 ,Bulbul,56,Tripura,798,197
21477,Vodafone,GTower, 457.00 ,Sparrow,69,Uttarakhand,466,81
21478,BSNL,LTower, 835.00 ,Bulbul,56,Uttar Pradesh,557,191
21479,Idea,MTower, 474.00 ,Kite,43,West Bengal,755,298
21480,Jio,GTower, 393.00 ,Spotted Dove,44,Andhra Pradesh,724,228
21481,Jio,LTower, 480.00 ,Sparrow,49,Arunachal Pradesh,209,202
21482,Airtel,GTower, 545.00 ,Sparrow,79,Assam,731,180
21483,BSNL,LTower, 794.00 ,Bulbul,62,Bihar,249,154
21484,Vodafone,MTower, 707.00 ,Kite,74,Chhattisgarh,123,272
21485,Idea,LTower, 775.00 ,Bulbul,69,Goa,190,86
21486,BSNL,GTower, 468.00 ,Sparrow,42,Gujarat,139,128
21487,Jio,GTower, 489.00 ,Spotted Dove,70,Haryana,847,177
21488,Airtel,MTower, 884.00 ,Kite,21,Andhra Pradesh,623,181
21489,Vodafone,LTower, 818.00 ,Bulbul,42,Arunachal Pradesh,217,155
21490,BSNL,MTower, 353.00 ,Sparrow,21,Assam,538,245
21491,Idea,GTower, 681.00 ,Spotted Dove,50,Bihar,497,291
21492,Jio,LTower, 830.00 ,Bulbul,22,Chhattisgarh,472,189
21493,Jio,MTower, 631.00 ,Kite,53,Goa,403,151
21494,Airtel,GTower, 876.00 ,Sparrow,76,Gujarat,165,236
21495,BSNL,LTower, 704.00 ,Spotted Dove,59,Haryana,478,114
21496,Vodafone,GTower, 329.00 ,Kite,59,Himachal Pradesh,820,101
21497,Idea,LTower, 705.00 ,Bulbul,40,Jharkhand,402,296
21498,BSNL,MTower, 499.00 ,Sparrow,40,Karnataka,413,281
21499,Jio,LTower, 402.00 ,Bulbul,68,Kerala,694,55
21500,Airtel,GTower, 788.00 ,Kite,39,Madhya Pradesh,660,143
21501,Vodafone,GTower, 626.00 ,Spotted Dove,67,Maharashtra,367,153
21502,BSNL,MTower, 839.00 ,Sparrow,68,Manipur,523,174
21503,Idea,LTower, 678.00 ,Sparrow,77,Meghalaya,440,74
21504,Jio,MTower, 563.00 ,Bulbul,71,Mizoram,193,171
21505,Jio,GTower, 652.00 ,Kite,44,Nagaland,675,170
21506,Airtel,LTower, 563.00 ,Bulbul,41,Odisha,262,236
21507,BSNL,MTower, 387.00 ,Sparrow,39,Punjab,404,238
21508,Vodafone,GTower, 551.00 ,Spotted Dove,30,Rajasthan,153,229
21509,Idea,LTower, 662.00 ,Kite,53,Sikkim,765,64
21510,BSNL,GTower, 342.00 ,Bulbul,47,Tamil Nadu,453,70
21511,Jio,LTower, 792.00 ,Sparrow,55,Telangana,625,51
21512,Airtel,MTower, 411.00 ,Spotted Dove,44,Tripura,421,192
21513,Vodafone,LTower, 340.00 ,Bulbul,67,Uttarakhand,392,119
21514,BSNL,GTower, 708.00 ,Kite,58,Uttar Pradesh,243,175
